Training Texts,Training Labels
"Magnificent and unforgettable, stunningly atmospheric, and brilliantly acted by all.<br /><br />I really cannot understand what sort of people are panning this masterpiece and giving the preponderance of votes as 8 (and nine ones!)<br /><br />This, along with Grapes of Wrath, is John Ford's greatest movie. I would say that Long Voyage Home is next in line, though quite a way back.<br /><br />Rating: 10. It deserves a 12.",1
"I got hooked on this as apparently ABC has licensed this show to Pearl TV in Hong Kong. It caught be my surprise, as it was a break from listening to anything Chinese. But i started getting reeled in, as the cast and the story lines are just NYC enough and thoughtful. Nothing too unbelievable, though I think it's very very stereotypical of them to write Damien as a potential black man with a sheet!!!! That has been the most disappointing aspect. The rest is great and I'm sad to learn on IMDb that i can't look forward to watching season 2 when i get back to the US. I'm am just as disappointed as the other commentators that this showed much promise and quality and taste. But just as shows that show characters getting closer, it's probably harder for people to watch if the start watching several episodes in. Which is apparently a bit too late for the eager networks.",1
"(SPOILERS IN FIRST PARAGRAPH) This movie's anti-German sentiment seems painfully dated now, but it's a brilliant example of great war-time propaganda. It was made back when Cecil B. DeMille was still a great director. (Ignore all his later Best Picture Academy Awards; he never made a very good sound film.) This movie lacks the comedy of most of Pickford's other films, and really it was DeMille's movie, not Pickford's. The vilification of the Germans can be compared to the way ""The Patriot"" of 2000 did the same to the British. The only good German in the film was a reluctant villain who had the ironic name of Austreheim. They even had Pickford take an ill-fated trip on a luxury ship that gets torpedoed by a German submarine. So what'll get the Americans more stirred up to war? The sinking of the Lusitania, or watching America's favorite Canadian import sinking in it? All throughout the film DeMille runs his protagonist from one kind of horrible calamity to another, barely escaping death, hypothermia, depravity, rape, execution, and explosions that go off in just the right place to keep her unharmed. The way she is saved from a firing squad is no more believable than the way the humans in ""Jurassic Park"" were ultimately rescued from the velociraptors. If I was any more gullible to such propaganda I would punish myself for having a part-German ancestry. <br /><br />Was it a good film? Aside from a humorous running gag about Americans abroad thinking they're untouchable  that was apparently a joke even back then  you might not be entertained. You'll find it more than a little melodramatic, and obviously one-sided, but the first thing that came to my mind after watching it is that it was years before Potemkin's false portrayal of a massacre revolutionized the language of cinema as well as a movie's potential for propaganda. It made me wonder: what became of Cecil B. DeMille? Somewhere between the advent of sound and ""The Greatest Show on Earth"" he seemed to lose his ambition. Ben Hur looked expensive, but not ambitious. In a sentence, this movie is for 1) Film historians, 2) Silent Film Buffs, 3) Mary Pickford fans, or 4) DeMille fans, if such a person exists.",1
"Masayuki Suo, who directed this fine film, is on a role. After the decent ""Fancy Dance"" and the classic (in Japan, anyway) college-sumo comedy ""Shiko Funjatta"", Suo has followed his own huge footsteps with a smashing success.<br /><br />The story is engaging. We both laugh often (Naoto Takenaka is hilarious, as he is in Suo's two previous films) and really root for the characters. But to me the big bonus is the look this movie gives the viewer into Japanese society - real life in Japan. Suo has a knack for showing real-life activities with entertaining flair. The result is a movie that will pull you in, make you laugh, make you think, and both entertain you and give you insight into today's Japan.<br /><br />Also look for the the main 8 actors from Shiko Funjatta, as they all appear again in various roles, from supporting characters (Takenaka) to short cameos (many).",1
"It is a well known fact that when Gene Roddenberry first pitched Star Trek to NBC, the original pilot episode, The Cage, was rejected for being ""too cerebral"". When the series was given another chance, Roddenberry thought it would be fun to establish the events of the rejected episode as canon, and did so by writing The Menagerie, which has the unique distinction of being the sequel to what was still, at the time, an unaired episode.<br /><br />This time, rather than exploring a new planet, Kirk and his crew are on Starbase 11, paying a visit to the former commander of the Enterprise, Christopher Pike (Sean Kenney), now horribly disfigured and paralyzed because of an accident. Pike joins his successor on the starship, where an unpleasant surprise awaits: Spock, who used to serve under Pike, has effectively hijacked the vessel and set the course for Talos IV, a planet which is off-limits (the punishment is death) since Pike and Spock's last visit there, 13 years earlier. Naturally, being a logical creature, Spock turns himself in and arranges a court-martial so that he can justify his actions.<br /><br />There's no need to say more about the plot, since the rest will play out in Part 2. What really impresses is how Roddenberry creates the connection between The Cage and the rest of the Star Trek universe, by coming up with a particular type of flashback (to say more would be too much) that allows everyone, on screen and off, to see what could have been of Trek, had NBC not turned down the original project. In particular, it's fun to see Jeffrey Hunter (who was unable to return in The Menagerie) play Pike as a more serious captain than Kirk usually is and Nimoy's early days as Spock, whose personality hadn't been fully established yet: this is the only time in the entire series that everybody's favorite Vulcan spontaneously grins.<br /><br />In short, not just a great ""mystery"" episode, but also a treat for those who can't be bothered to track down The Cage in its original form (it's available as part of the Season 3 box set).",1
"This movie is more Lupin then most, especially coming from Funimation. Other then the bad dub, it isn't bad.<br /><br />The first hour is a lot like the Comic (which is what all Lupin the 3rd stuff is based on). Lupin's trying to get a huge treasure. Fujiko's using Lupin's weakness to women to try to get something out of it. The last bit isn't that bad, he's with another women, but of course Fujiko's still him number one.<br /><br />A lot of the other Lupin movies are more Family with cuss words then Lupin. Any good Lupin fan I think will be pleasantly surprised (I know I was after hearing so many bad things about this movie). It might be a bit better without the little animations rolling during the credits (they make it a little mushy) but overall, it isn't a bad film. Good enough to be one of the few I'd watch again of the Lupin III movies.",1
"I must admit that this is the type of film that I would normally eschew, but I rented it basically because of the stars. I certainly was not sorry. In fact, as you see, I rated it five stars. This film is the perfect combination of sharp directing and superior acting.<br /><br />Andy and Hank Hanson are brothers who decide to commit the uncouth crime of robbing their parents' jewelry store. The crime goes terribly wrong - thus beginning an examination of the three men in the Hanson family. Through a series of flashbacks, we get to know Charles Hanson and come to an understanding of the strained relationship between father and sons.<br /><br />Younger brother, Hank is basically a screw-up. He has always had trouble holding a job and pretty much goes in the direction of the wind. Hank is insecure, cowardly, and very much under the influence of his big brother. Ethan Hawke has the character of Hank ""nailed to a T"" and gives what is probably his best performance thus far. He shows us a man who is basically good-hearted but so influenced by outside forces that he is unable to follow through with any important task.<br /><br />Andy - on the surface - appears to be a successful businessman, but we soon discover that he is addicted to drugs and has been embezzling from his company to pay for his habit. It is Andy who concocts the scheme to rob his parents' store, and he gets weak-willed Hank to commit the act. Philip Seymour Hoffman - surely one of the finest actors of our time - plays Andy. Hoffman is an actor who has the ability to portray a man who, on the surface, is a charming businessman liked by his acquaintances but a real slime ball underneath. He is absolutely perfect for the part of Andy or it might be said that he, through his superior acting skills, made Andy the perfect part.<br /><br />Albert Finney plays a father common to his generation. Charles Hanson is not a bad or unfeeling man, but he has a lousy relationship with his sons because he never really understood what was necessary in nurturing a positive bond between his sons and himself. He has always been too quick to criticize and admonish. He always made it clear that he favored his younger son over his older thus causing a wide emotional rift between himself and Andy. As we get to know Charles and Andy, the thought of Andy forming a plan to rob from his father becomes less unbelievable.<br /><br />On a personal note, I cannot believe how much Charles Hanson reminded me of my own father, and how much Andy and Hank reminded me of my own brother and myself. Perhaps this may be one of the reasons that I enjoyed the film so much as this story of a distant, critical father, a more successful older brother, and a less successful younger brother hit so close to home. Fortunately, my brother and I never came to the state of committing a crime against my parents- guess we were made of sterner and more moral stuff.<br /><br />This complex of personalities and actions has been expertly put together by director, Sidney Lumet. At eighty-three, he still has the chops to give the audience engrossing characters and edge-of-seat action that hypnotizes. 12 Angry Men was his first film made fifty years prior to Before the Devil Knows You're Dead, but he hasn't lost any bit of his magic touch in showing us characters that will be long remembered.<br /><br />The events and characters in Before the Devil Knows You're Dead are harsh and unattractive, and this is definitely not a feel-good movie. However, it is two hours of ultimate entertainment which I thoroughly recommend.",1
"Roman Polanski is considered as one of the most important directors of our time, as the mind behind classics such as ""Rosemary's Baby"" and ""Chinatown"". Probably what makes Polanski's cinema a very interesting one is the fact that while he is capable of creating commercially attractive films such as the afore mentioned masterpieces, he is also fond of making low-key movies that are of a more personal nature. ""Le Locataire"", or ""The Tenant"", is one of those movies; a horror/suspense story about paranoia and obsession that is among his best works and probably among the best horror movies ever done.<br /><br />Polanski himself plays Telkovsky, a young man looking for an apartment in France. When he finally finds one, he discovers that it is empty because the previous tenant, Simone Choule, attempted to kill herself by jumping out of the window. After Simone dies of the injuries, Trelkovsky begins to become obsessed with her, to the point of believing that her death was caused by the rest of the tenants in the building.<br /><br />While sharing the same claustrophobic feeling of his other ""apartment-themed"" films (""Repulsion & ""Rosemary's Baby""); this film focuses on the bizarre conspiracy that may or may not be entirely in Trelkovsky's head, the catastrophic effects the paranoia has on his mind, and the bizarre obsession he has with the previous tenant.<br /><br />Trelkovsky's descend into darkness is portrayed perfectly by Polanski. While at first his performance seems odd and wooden, slowly one finds out that Polanski acts that way because Trelkovsky is meant to be acted that way; as a simpleton with almost no life, who traps himself in this maddening sub-world that happens to be inhabited by a collection of bizarre people. The supporting actors really gave life to the people in the building creating memorable characters that are very important for the success of the film.<br /><br />Also, the beautiful cinematography Polanski employs in the film helps to increase the feeling of isolation, and gives life to the beautiful building that serves as cage for Trelkovsky. The haunting images Polanski uses to convey the feeling of confusion and madness are of a supernatural beauty that makes them both frightening and attractive.<br /><br />If a flaw is to be found in the film, is that it is definitely a bit slow at first. this may sound like a turn-off but in fact the slow pace of the beginning works perfectly as it mimics Trelkovsky's own boring life and how gradually he enters a different realm. Also, the convoluted storyline is definitely not an easy one to understand due to the many complex layers it has. However, more than a flaw, it is a joy to face a thought-provoking plot like this one.<br /><br />While ""The Tenant"" may not be for everyone, those interested in psychological horror and surreal story lines will be pleased by the experience. ""Le Locataire"" is really one of Roman Polanksi's masterpieces. 10/10",1
"Another Woo's masterpiece!<br /><br />This is a best wuxie film i'm ever seen! Woo - RULEZ forever (except some Hollywood moments...). John Woo - greater director of the century.<br /><br />Maybe hi is not more intellectual than lot of Big Directors... But he is lyrical and spiritual idol of all free-mind people! <br /><br />His movies like the great poetry! Woo is a Movie Sheakspeare! Woo is a Movie Biron! Woo is a Mozart of Bloodshet!!!!<br /><br />IMHO violent in Woo films is not a directors bloodlust, but a instrument of art. Themes of Woo movies is more humanistic that more of the new films.",1
"""Jake Speed"" is a fine movie with a wonderful message. It has its flaws of course. At times it's a little slow. It introduces its villain too far into the story. It's action is paced at the rate of a snail's heartbeat. It has a Z-grade cast (Although I've always admired the work of Karen Kopins, who has the straight-laced good looks of Sandra Bullock).<br /><br />But with all this going against it, ""Jake Speed"" really is inspiring, thanks to a charming script by Wayne Crawford(who plays the title role) and Andrew Lane.<br /><br />Why do I find it so inspiring? Because it says to me ""Hey, why not try to be a good person.""<br /><br />The story is essentially a ""stranger in a strange land"" premise, that is good-and-heroic Jake Speed is placed in the real world where bad things happen to good people. Jake is more than a Boy Scout. He's more than a knight in shining armor. Jake Speed is the patron saint of optimism in a dirty, mean and evil world.<br /><br />It's because of this that ""Jake Speed"" really needed to be a hit. It has a great message that should have gotten out to Hollywood and then to the rest of the world.<br /><br />Imagine a movie industry that really pushed itself to portray good and decent people. I'm not saying that we should be watching the Waltons in every theater at the cineplex, but that it would be nice if more movies such as ""Jake Speed"" would get a chance. (""Due South,"" a TV show about a Canadian Mountie, is a good comparison of what can be done to brighten up American entertainment.)<br /><br />Sure, ""Jake Speed"" has violence, blood and guns, but the overall message is that if you try hard enough to be a good person, you'll beat the forces of evil every time. 10/14/99",1
"I saw this movie on the Hallmark Channel and thought it was wonderful, especially since it was based on a true man. Pierce Brosnan was very good as the loner English man who took on the persona of the half breed Grey Owl. The photography was beautiful.<br /><br />This movie made me do more research into this character Archie Belaney known simple as Grey Owl. I want to read as much as I can about him. At the time I did not know Richard Attenborough had directed it. But I am not surprised. I like all his movies whether he is acting or directing. I gave it the highest rating. However, I would have liked to have seen more in the movie about WHY he took on this persona as it only showed the two aunts who raised him and his room in their house.<br /><br />You can't go wrong with this movie if you are like me and enjoy a beautiful story without hearing foul language and contrived special effects every few minutes.",1
"This movie is a should-be classic. It's not perfect, certainly. The pacing, while perfect for the stage, is in movie form slow as a tortoise with arthritic knees. Jean Seberg is misdirected to be too sweet and too gentle. She fully shows enough acting talent, skill, and craft to convincingly play the clever, passionate, and confident Joan, but, unfortunately, the director missed the point of the character. George Bernard Shaw is my favorite playwright. In no other play has his dialog been more sharp, nor the lines more musical. However, processing this film requires that you look at it as a lawyer. This movie is a case, and the viewer is the judge. That is how this picture is to be enjoyed. 7/10.",1
"I felt a great joy, after seeing this film, not because it is a master piece, but because it convinced me of, that the Portuguese cinema became really very good. We can see here the best Portuguese actores in this field.",1
"Well I don't personally like rap, but I still found Fear of a Black Hat hilarious. I'm sure I didn't get some inside jokes, but some I knew, and it was funny enough to make me laugh just after I'd stopped laughing. I'm a big fan of Spinal tap, so naturally I had to check this out. It was deriviative from This Is Spinal Tap, sometimes blatantly, but this film still stood on it's own as an original, intelligent, and funny satire. My personal favorite: ""Back in the time of slaves, they didn't have hats to protect them from the sun, so at the end of the day they were too tired to revolt. Now we have hats.""",1
